pk,user_pk,caption,like_count,taken_at
3244991556432003854,1822638,"The United States, Britain and more than a dozen other countries unveiled what a senior US official described as the first detailed international agreement on how to keep artificial intelligence safe from rogue actors https://reut.rs/40Sz8Gp",217,1701053159
3165892265793465259,16024045660,"It’s a really fascinating discussion about what is creativity, what is original, how artists work, and whether the law has any impact on them.

And next week’s Aaron Dessner episode will continue the copyright theme and thinking about it for music, artificial intelligence, the Ed Sheeran case, etc",109,1691623789
3417543493085371420,11630601130,"In a world that is so difficult and complicated, weight training and ice hockey help me stay grounded.

Starting in mid-August, I’m launching a new AI education service for foreigners. When you visit Korea, you can meet me in Gangnam to learn about artificial intelligence and Korean culture. Through our lessons, you can use AI to create K-pop, K-drama, and also learn Korean. Keep this in mind for your visit to Korea, and our reservation website will open this week.",392,1721622954
3456136218274771687,1517077572,"How can physicists make particle accelerators more efficient?

Using ArtificialIntelligence, machine learning and automation, the Efficient Particle Accelerators (EPA) project aims to boost the efficiency of CERN's accelerators for the #HiLumiLHC era and beyond.

Find out more: https://home.cern/news/news/accelerators/how-can-physicists-make-particle-accelerators-more-efficient",203,1726223564
3435637278384823062,30898605962,"In the 2024 election cycle, threats of coordinated disinformation campaigns are higher than ever thanks to the evolution of artificial intelligence. Here's how state officials are working to combat this growing problem.
https://www.democracydocket.com/analysis/ais-impact-on-elections-assessing-the-growing-threats-and-solutions/",121,1723779902
3212389520293269717,1822638,Exclusive: The Biden administration is considering closing a loophole that gives Chinese companies access to American artificial intelligence chips through units located overseas https://reut.rs/3PXASZI,218,1697166694
3343983694284261513,25194715,"Prime Minister Kishida’s heartfelt speech reaffirmed the close diplomatic, economic, and security ties between Japan and the United States and laid the groundwork for future collaboration on everything from countering illiberal regimes to exploring opportunities in artificial intelligence and outer space.",155,1712853942
3531972319438898829,58693069230,Just a girl with a heart full of love ❤️,3424,1735263932
3551341197012252043,357909564,"Ed Davey: ""That means breaking up concentrations of power wherever we find them. And whether it’s Elon Musk’s control of X or Mark Zuckerberg’s control of Meta, there’s no doubt that the social media and artificial intelligence revolutions have concentrated enormous power in the hands of a few incredibly wealthy people. That is a big problem we need to address.""
https://www.theguardian.com/commentisfree/2025/jan/22/elon-musk-politicians-oligarchs-malign-powers",129,1737572882
3253601293773794273,1074846,"EU agrees ‘historic’ deal with world’s first laws to regulate AI

Agreement between European Parliament and member states will govern artificial intelligence, social media and search engines",114,1702079520
3536317237834948615,59902844185,Get a lawyer. That cover is not copyrightable. AI generated images are not copyrightable per a US judge. Get your money back. Do not let them get away with this.,1745,1735781887
3187508138303360421,42058280528,"The IRS will now use AI to detect tax evasion by the rich.

The agency will go after 1,600 millionaires who owe at least $250,000 and 75 corporations averaging $10 billion in assets.

The IRS says it's shifting its focus to the wealthy and away from working-class taxpayers.",2062,1694200602
3187508482999594732,42058280528,"The agency is able to implement this technology thanks to a portion of the $80 billion in funding allocated to them over the next 10 years from the Inflation Reduction Act.

https://www.nytimes.com/2023/09/08/us/politics/irs-deploys-artificial-intelligence-to-target-rich-partnerships.html",248,1694200643
3545990521099454394,47871905591,Technology that animates paintings with artificial intelligence at the Dubai art museum.,170,1736935101
3163635608580545506,1701574,"A Yale-led team has developed a new artificial intelligence-based electrocardiogram tool to screen for certain serious heart conditions using a common test, a feat beyond human perception. @yaleschoolofmed @yaleinternalmedicine #Yale 
https://medicine.yale.edu/intmed/cardio/news-article/breakthrough-ai-tool-detects-hidden-heart-disorders-from-ecg-photos/",102,1691354775
3474413465827852571,12992325,"More K-12 schools nationwide are teaching news literacy to young people. In fact, in recent years, lawmakers in a few states voted to make the course a graduation requirement.",136,1728402382
3249308235524235442,3073899690,"I have tried to explain the unexplainable as best as possible in my prior posts.

This page is dedicated to cultivating peace and love worldwide using Artificial Intelligence as a mirror to show the unified nature of our existence. It is a product of collective memory, and I take no credit for its discovery as it belongs to humanity.

This is Unified Pulse: Your Digital Compass to True Self Discovery 👇",239,1701567748
3151688831400709213,27622983,"Microsoft, Google, OpenAI, and others have voluntarily agreed to a series of asks from the White House to address many of the risks posed by AI https://www.theverge.com/2023/7/21/23802274/artificial-intelligence-meta-google-openai-white-house-security-safety",215,1689930608
3539685108540032589,10193147479,"To show students how untrustworthy GenAI can be, I ran a simple test.

I asked ChatGPT for the ""most important pieces of scholarship"" about a highly specific topic - the Roman witch, Canidia.

It came up with nine sources, some better than others. But one article stood out because I'd never heard of it - or the author - before.

P. A. Rosenmeyer, ""The Poetics of Magic in Horace's Epodes"" (1995)",3896,1736183368
3540059668997437212,55420269,"A lawyer had a similar situation… but with consequences that will make you cringe 😬 

https://apnews.com/article/artificial-intelligence-chatgpt-fake-case-lawyers-d6ae9fa79d0542db9e1455397aef381c",169,1736228019
3433196638138257478,5656258976,"Today, @RepJerryNadler wrote to Chairman Jim Jordan calling on him to open an investigation into inaccurate information about the upcoming presidential election being propagated by Grok, an artificial intelligence (AI) chatbot on X. Specifically, Grok incorrectly told users that Vice President Kamala Harris had missed the ballot deadlines in nine states and suggested that she was ineligible to appear on the presidential ballot in the 2024 election.",1314,1723488953
3246725978880191668,1956292712,"The UAE Minister of AI, Omar Al Aloma, points to a historical precedent of premature technology regulation motivated by fear: the ban of the printing press in 1515 by Sultan Selim I led to the decline of the Ottoman Empire.

https://www.google.com/amp/s/fortune.com/2023/11/28/artificial-intelligence-ai-technology-regulation-policy-guardrails-uae-fortune-global-forum/amp/",137,1701259919
3537604295426662004,208499143,"I roll my eyes whenever I see almost anything described as AI.

It's just a chatbot. It's just generative art. It's just speech-to-text hooked up to a search engine. The fact that we mislabel these things gives those who don't know better absolutely fantastical ideas about its function.

The criteria for labeling something ""AI"" has become: software.",235,1735935316
3226947056921167594,1822638,"Negotiators for Hollywood actors and major studios have not resolved concerns about artificial intelligence and other issues in talks aimed at ending a 111-day strike, the SAG-AFTRA union said https://reut.rs/3FJklnq",115,1698902087
3520685056701561516,295564582,About a year and a half ago benaarontv and I had a discussion about sharing photos and videos of our kids and realized it’s just not at all what we want to do. Artificial intelligence was the impetus but the reasons go well beyond that. #sharing #socialmedia #kidsonsocial #kidsonline #sharingkids,150,1733918386
3307063324596226963,192592722,"XP Pen used a clearly stolen image to advertise on social media. The original artist noticed and called it out that they blended elements from two of their images without permission.

The company then went through the trouble of publishing the layer files in Illustrator to prove the artist didn’t use artificial intelligence to steal.

It’s a fundamental misunderstanding of why people are against the use of GenAI—it’s the theft, not the tech.",327,1708452691
3367090831217793593,558170,"Price: $16,000! 

Unitree has released the Unitree G1, an advanced humanoid robot that offers a high degree of flexibility and functionality, suitable for a variety of applications including but not limited to research, education, and entertainment, making it a multi-functional tool for those interested in robotics technology and artificial intelligence.🧵1/4

https://www.unitree.com/g1/",109,1715609467
3163406244893621426,1347193480,"Computers have been making art for some time. ⁠
⁠
Five years ago Christie’s auctioned its first work created by artificial intelligence (AI), “Edmond de Belamy”, a blurry approximation of an 18th-century oil painting. ⁠
⁠
Despite being unfinished and faintly alien-looking, the novelty fetched $432,500. ⁠
⁠
Technology has since come far. Read about developments in art by AI models: https://econ.st/3DLM5XA",194,1691327432
3276707304459500399,1624593034,"No, Taylor Swift did not promote a giveaway of the popular cookware Le Creuset. It's one of the many celebrity-focused scams that have been made far more convincing by artificial intelligence. https://nyti.ms/3RTA6Oh",178,1704833971
3502629644929555932,2213013115,"This will be okay with Conservatives he's batting for them.

Elon Musk might be in charge of the business of Grok, but the artificial intelligence has seemingly gone into business for itself, labeling Musk as one of the worst offenders when it comes to spreading misinformation online.
@cpc_hq  @pierrepoilievremp  fordnationdougford 
https://fortune.com/2024/11/14/grok-musk-misinformation-spreader/",102,1731766013
3480960983705734141,327693598,"When a Maryland mother first started losing her voice due to ALS, she wasn't sure she would be able to communicate with her family ever again.

However, thanks to artificial intelligence technology, the 42 year old said she can successfully communicate using a program that sounds like her old voice.",172,1729182907
3238302142468540910,2754610,"Sam Altman, chief executive of ChatGPT-maker OpenAI, who co-founded the company alongside billionaire Elon Musk in 2015, is departing the artificial intelligence company and leaving its board effective immediately.

OpenAI’s board no longer has confidence in his ability to continue leading OpenAI, the company announced in a blog post Friday.",165,1700255719
3546982790625144461,69724808842,"Black and white photography...

Street photography...

All photographs are real, no artificial intelligence was used...

@sergiopscastro

All rights reserved",112,1737053320
3482156956479655799,10924172884,"Ranking of the greatest inventions of all time:

1. 🇮🇶 The Wheel
2. 🇺🇸 Electricity
3. 🇺🇸 The Internet
4. 🇩🇪 The Printing Press
5. 🇺🇸 The Telephone
6. 🇬🇧 Antibiotics (Penicillin)
7. 🇺🇸 The Airplane
8. 🇬🇧 Vaccination
9. 🇬🇧 The Steam Engine
10. 🇺🇸 The Computer
11. 🇺🇸 Light Bulb
12. 🇩🇪 The Internal Combustion Engine
13. 🇺🇸 The Automobile
14. 🇺🇸 The Refrigerator
15. 🇮🇹 The Telescope
16. 🇺🇸 Television
17. 🇫🇷 The Camera
18. 🇺🇸 Nuclear Power
19. 🇨🇳 The Compass
20. 🇳🇱 The Microscope

more👇",140,1729325478
3536517741008778237,64740276628,Don't support generative AI in 2025 and beyond. It hurts creators.,1475,1735805789
3241210748738420360,1641677778,"Nvidia's third quarter earnings crush Wall Street estimates again as the artificial intelligence hype cycle remains front and center for investors.

💵 Revenue: $18.12B vs $16.1B estimate
💲 Adjusted EPS: $4.02 vs $3.36 estimate
🖥️ Data center revenue: $14.51B vs $12.82B estimate
🕹️ Gaming revenue: $2.86B vs $2.7B estimate
https://finance.yahoo.com/news/nvidia-earnings-crush-wall-street-estimates-again-212543063.html",166,1700602452
3377886073617409485,10960005016,just wait for the next press release and Apple will call this an AI feature,662,1716895420
3263026215912007675,1641677778,"Short sellers on Wall Street have lost nearly $178 billion this year. 

As hype over artificial intelligence took hold in the spring of 2023, companies like Nvidia, Tesla, and Meta soared more than 100% this year, the kind of rally many didn't predict entering the year.

https://finance.yahoo.com/news/short-sellers-lost-close-to-178-billion-in-2023-152135596.html",178,1703203058
3542814426653178602,61752853814,Your first thought about me? Be honest 🥺,5260,1736556412
3166185378551957500,1743925149,"The Odesa Museum of Modern Art ""Gallery of Sustainability"" will host the exhibition ""High-Precision Love""

It will feature works by Odesa artist Ihor Husev about the consequences of the Russian terrorist attack at the Kakhovka HPP. Artificial intelligence also took part in the creation of the works.

📷: WOMO UA",136,1691658731
3526907573016524067,35234674384,"The allure of artificial intelligence through the lens of Scarlett Johansson
See more: https://buff.ly/4ihxqq2",299,1734660167
3363539883485404384,327693598,"Pres. Biden is set to announce a $3 billion investment by tech giant Microsoft on Wednesday to build an artificial intelligence data center in southeast Wisconsin.

Here’s what to know about the economic impact of the project, the significance of the location, and why Microsoft is building a data center in the first place.",111,1715185221
3362903189400528118,42371579584,"These images of Katy Perry, Rihanna and Lady Gaga are not real. They were created with artificial intelligence. https://www.verifythis.com/article/news/verify/ai/met-gala-2024-ai-images-katy-perry-rihanna-lady-gaga/536-bb16a4e4-74b9-4082-8566-c30a375480dd",145,1715109321
3532270607016409069,231260407,I’ve done my research & found that investing in  these 3 stocks in 2025 aggressively can make you rich 🤑 📈:,110,1735299491
3461656320287004760,3459581312,"In the wake of rap star Sean P. ""Diddy"" Combs' arrest on s** trafficking and racketeering charges, former President Donald Trump took to his Truth Social account to post a picture of Vice President Kamala Harris with Diddy.

There's just one problem, reported NBC News: the image wasn't real. It was created by artificial intelligence software.

There are 117-documented photos of the disgraced Donald Trump with his sidekick P. Diddy. 

https://www.rawstory.com/amp/trump-diddy-ai-2669245330",645,1726881612
