Source,Target,Type
11781456417,62926993725,directed
37102490442,62926993725,directed
531758406,62926993725,directed
60850232106,62926993725,directed
11194920225,62926993725,directed
55968501995,62926993725,directed
49013546684,62926993725,directed
60628346710,62926993725,directed
4153445941,62926993725,directed
3756730580,62926993725,directed
42554616,62926993725,directed
4536264575,62926993725,directed
65391034968,62926993725,directed
384363191,62926993725,directed
6253539944,62926993725,directed
38798206844,62926993725,directed
65070693281,62926993725,directed
60966856788,62926993725,directed
69566543810,62926993725,directed
5547173328,62926993725,directed
5701199225,38077850387,directed
5676816145,38077850387,directed
51958843096,38077850387,directed
55178050501,38077850387,directed
64379260940,38077850387,directed
50139636118,38077850387,directed
262856836,38077850387,directed
3156028036,38077850387,directed
54579428206,38077850387,directed
9047692314,38077850387,directed
10027598301,38077850387,directed
7355542106,38077850387,directed
36095397789,38077850387,directed
5520169129,38077850387,directed
56714285656,38077850387,directed
34158564957,38077850387,directed
6649417310,38077850387,directed
50656527917,38077850387,directed
8362525031,38077850387,directed
62233317658,38077850387,directed
1816863531,1501070805,directed
1027867451,1501070805,directed
6150800787,1501070805,directed
3519965980,1501070805,directed
1795971330,1501070805,directed
563838818,1501070805,directed
1543214540,1501070805,directed
5672499286,1501070805,directed
3098195771,1501070805,directed
1959118787,1501070805,directed
33498315874,1501070805,directed
33274428172,1501070805,directed
2671484253,1501070805,directed
4513988196,1501070805,directed
5342759779,1501070805,directed
6053379558,1501070805,directed
39568222,1501070805,directed
1457429221,1501070805,directed
1788931156,1501070805,directed
5605045968,1501070805,directed
51524079790,65532133383,directed
65242802457,65532133383,directed
58086058382,65532133383,directed
64116497476,65532133383,directed
53982955686,65532133383,directed
6199888996,65532133383,directed
65955274072,65532133383,directed
62619594223,65532133383,directed
6267328541,65532133383,directed
67115637172,65532133383,directed
67038712330,65532133383,directed
8436172405,65532133383,directed
67281319268,65532133383,directed
65360210258,65532133383,directed
67592464790,65532133383,directed
69002489097,65532133383,directed
65069732019,65532133383,directed
6852889588,65532133383,directed
189853959,65532133383,directed
44223493086,65532133383,directed
69374957503,24736383042,directed
70690130037,24736383042,directed
45433523637,24736383042,directed
49519786147,24736383042,directed
66223311354,24736383042,directed
9419087272,24736383042,directed
50378413007,24736383042,directed
4023341285,24736383042,directed
44798389193,24736383042,directed
6053618475,24736383042,directed
69822893255,24736383042,directed
63959794645,24736383042,directed
8611865700,24736383042,directed
5502084076,24736383042,directed
635836312,24736383042,directed
68749082826,24736383042,directed
28162057133,24736383042,directed
70108940773,24736383042,directed
65767865400,24736383042,directed
8297972807,24736383042,directed
6867674325,24736383042,directed
46427678116,24736383042,directed
60522207631,24736383042,directed
66608019664,24736383042,directed
32882873105,24736383042,directed
25003252898,24736383042,directed
4266037558,24736383042,directed
70245543127,24736383042,directed
60089084248,24736383042,directed
64568406435,24736383042,directed
62669173058,24736383042,directed
62496872860,24736383042,directed
2178065127,24736383042,directed
5663339234,24736383042,directed
58904352841,24736383042,directed
37591806435,24736383042,directed
1249062615,24736383042,directed
64145641924,24736383042,directed
1038536154,24736383042,directed
48654318173,24736383042,directed
51893118133,24736383042,directed
63789800995,24736383042,directed
62889663642,24736383042,directed
53116116510,24736383042,directed
53832911739,24736383042,directed
48802367382,24736383042,directed
52889718840,24736383042,directed
4478716867,24736383042,directed
7175027371,24736383042,directed
69613478285,24736383042,directed
4833357346,7278044187,directed
50419386546,7278044187,directed
7446843858,7278044187,directed
18488129930,7278044187,directed
339577924,7278044187,directed
58434001614,7278044187,directed
11816871845,7278044187,directed
643426985,7278044187,directed
36797143511,7278044187,directed
497112339,7278044187,directed
318005933,7278044187,directed
